15	10	E	-7012958.550097334	200
emissionprobs	10	2	H3k04me2AlnRep1	0	0.23050067698406876
emissionprobs	10	2	H3k04me2AlnRep1	1	0.7694993230159313
emissionprobs	10	3	H3k04me3AlnRep1	0	0.8687132416280599
emissionprobs	10	3	H3k04me3AlnRep1	1	0.13128675837194015
emissionprobs	10	4	H3k09acAlnRep1	0	0.8722926654523419
emissionprobs	10	4	H3k09acAlnRep1	1	0.1277073345476581
emissionprobs	10	5	H3k09me3AlnRep1	0	0.9977448234554939
emissionprobs	10	5	H3k09me3AlnRep1	1	0.002255176544506253
emissionprobs	10	6	H3k27acAlnRep1	0	0.9926636813255729
emissionprobs	10	6	H3k27acAlnRep1	1	0.007336318674427131
emissionprobs	10	7	H3k27me3AlnRep1	0	0.9882717218243496
emissionprobs	10	7	H3k27me3AlnRep1	1	0.011728278175650307
emissionprobs	10	8	H3k36me3AlnRep1	0	0.9998164250630435
emissionprobs	10	8	H3k36me3AlnRep1	1	1.8357493695660642E-4
emissionprobs	10	9	H3k79me2AlnRep1	0	0.9866756610399556
emissionprobs	10	9	H3k79me2AlnRep1	1	0.013324338960044382
emissionprobs	11	0	H2azAlnRep1	0	0.5737329876578345
emissionprobs	11	0	H2azAlnRep1	1	0.4262670123421654
emissionprobs	11	1	H3k04me1AlnRep1	0	0.8752265132570066
emissionprobs	11	1	H3k04me1AlnRep1	1	0.12477348674299335
emissionprobs	11	2	H3k04me2AlnRep1	0	0.1297253792513722
emissionprobs	11	2	H3k04me2AlnRep1	1	0.8702746207486277
emissionprobs	11	3	H3k04me3AlnRep1	0	0.5555578735353223
emissionprobs	11	3	H3k04me3AlnRep1	1	0.44444212646467784
emissionprobs	11	4	H3k09acAlnRep1	0	0.8464597639155317
emissionprobs	11	4	H3k09acAlnRep1	1	0.15354023608446837
emissionprobs	11	5	H3k09me3AlnRep1	0	0.8895790455201958
emissionprobs	11	5	H3k09me3AlnRep1	1	0.11042095447980411
emissionprobs	11	6	H3k27acAlnRep1	0	0.9837074358553399
emissionprobs	11	6	H3k27acAlnRep1	1	0.01629256414466009
emissionprobs	11	7	H3k27me3AlnRep1	0	0.4949099687193464
emissionprobs	11	7	H3k27me3AlnRep1	1	0.5050900312806536
emissionprobs	11	8	H3k36me3AlnRep1	0	0.9420166037686944
emissionprobs	11	8	H3k36me3AlnRep1	1	0.05798339623130561
emissionprobs	11	9	H3k79me2AlnRep1	0	0.9551744197336518
emissionprobs	11	9	H3k79me2AlnRep1	1	0.0448255802663482
emissionprobs	12	0	H2azAlnRep1	0	0.8061062518326643
emissionprobs	12	0	H2azAlnRep1	1	0.19389374816733576
emissionprobs	12	1	H3k04me1AlnRep1	0	0.2700647045040763
emissionprobs	12	1	H3k04me1AlnRep1	1	0.7299352954959236
emissionprobs	12	2	H3k04me2AlnRep1	0	0.16036470645311598
emissionprobs	12	2	H3k04me2AlnRep1	1	0.839635293546884
emissionprobs	12	3	H3k04me3AlnRep1	0	0.932940334029585
emissionprobs	12	3	H3k04me3AlnRep1	1	0.06705966597041511
emissionprobs	12	4	H3k09acAlnRep1	0	0.8140629551172434
emissionprobs	12	4	H3k09acAlnRep1	1	0.1859370448827567
emissionprobs	12	5	H3k09me3AlnRep1	0	0.9981523140557567
emissionprobs	12	5	H3k09me3AlnRep1	1	0.0018476859442433742
emissionprobs	12	6	H3k27acAlnRep1	0	0.7282990624749472
emissionprobs	12	6	H3k27acAlnRep1	1	0.27170093752505287
emissionprobs	12	7	H3k27me3AlnRep1	0	0.9979608256208286
emissionprobs	12	7	H3k27me3AlnRep1	1	0.002039174379171408
emissionprobs	12	8	H3k36me3AlnRep1	0	0.9961835793620533
emissionprobs	12	8	H3k36me3AlnRep1	1	0.0038164206379467215
emissionprobs	12	9	H3k79me2AlnRep1	0	0.9925386341098312
emissionprobs	12	9	H3k79me2AlnRep1	1	0.007461365890168769
emissionprobs	13	0	H2azAlnRep1	0	0.7446154582318768
emissionprobs	13	0	H2azAlnRep1	1	0.2553845417681232
emissionprobs	13	1	H3k04me1AlnRep1	0	0.1154925903307199
emissionprobs	13	1	H3k04me1AlnRep1	1	0.8845074096692801
emissionprobs	13	2	H3k04me2AlnRep1	0	0.06390388227791656
emissionprobs	13	2	H3k04me2AlnRep1	1	0.9360961177220835
emissionprobs	13	3	H3k04me3AlnRep1	0	0.7457171506438508
emissionprobs	13	3	H3k04me3AlnRep1	1	0.2542828493561493
emissionprobs	13	4	H3k09acAlnRep1	0	0.15064209126286765
emissionprobs	13	4	H3k09acAlnRep1	1	0.8493579087371323
emissionprobs	13	5	H3k09me3AlnRep1	0	0.9980234196312738
emissionprobs	13	5	H3k09me3AlnRep1	1	0.001976580368726173
emissionprobs	13	6	H3k27acAlnRep1	0	0.012010885176466722
emissionprobs	13	6	H3k27acAlnRep1	1	0.9879891148235332
emissionprobs	13	7	H3k27me3AlnRep1	0	0.9992970074336694
emissionprobs	13	7	H3k27me3AlnRep1	1	7.029925663306343E-4
emissionprobs	13	8	H3k36me3AlnRep1	0	0.9906387296081983
emissionprobs	13	8	H3k36me3AlnRep1	1	0.009361270391801724
emissionprobs	13	9	H3k79me2AlnRep1	0	0.9825476894152811
emissionprobs	13	9	H3k79me2AlnRep1	1	0.01745231058471886
emissionprobs	14	0	H2azAlnRep1	0	0.966707134668642
emissionprobs	14	0	H2azAlnRep1	1	0.03329286533135799
